@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
5,8,20,True,True,True,True,4,7,5,13,3,14,11,15,6,5,13,12,12,-11,South
4,8,20,True,True,True,True,4,7,5,13,3,14,11,15,6,6,14,13,13,-12,West
3,8,20,True,True,True,True,4,7,5,13,3,14,11,15,6,7,15,14,14,-13,West
2,8,20,True,True,True,True,4,7,5,13,3,14,11,15,6,8,16,15,15,-14,West
1,8,20,True,True,True,True,4,7,5,13,3,14,11,15,6,9,17,16,16,-15,West
1,7,20,True,True,True,True,4,7,5,13,3,14,11,15,6,8,16,17,15,-16,South
1,6,20,True,True,True,True,4,7,5,13,3,14,11,15,6,7,15,18,14,-17,South
1,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,6,14,19,15,-18,South
2,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,5,13,18,14,-19,East
3,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,4,12,17,13,-20,East
4,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,3,11,16,12,-21,East
5,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,2,10,15,11,-22,East
6,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,1,9,14,10,-23,East
5,5,20,True,True,True,True,4,7,5,13,3,14,11,15,6,2,10,15,11,-24,West
